,filename,is_santa
0,archive/is that santa/train/santa/155.Santa.jpg,0
1,archive/is that santa/train/santa/392.Santa.jpg,0
2,archive/is that santa/train/santa/86.Santa.jpg,0
3,archive/is that santa/train/santa/516.Santa.jpg,0
4,archive/is that santa/train/santa/124.Santa.jpg,0
5,archive/is that santa/train/not-a-santa/268.not-a-santa.jpg,1
6,archive/is that santa/train/santa/433.Santa.jpg,0
7,archive/is that santa/train/santa/233.Santa.jpg,0
8,archive/is that santa/train/santa/575.Santa.jpg,0
9,archive/is that santa/train/santa/452.Santa.jpg,0
10,archive/is that santa/train/not-a-santa/498.not-a-santa.jpg,1
11,archive/is that santa/train/santa/94.Santa.jpg,0
12,archive/is that santa/train/santa/373.Santa.jpg,0
13,archive/is that santa/train/not-a-santa/359.not-a-santa.jpg,1
14,archive/is that santa/train/not-a-santa/221.not-a-santa.jpg,1
15,archive/is that santa/train/santa/108.Santa.jpg,0
16,archive/is that santa/train/santa/141.Santa.jpg,0
17,archive/is that santa/train/santa/140.Santa.jpg,0
18,archive/is that santa/train/santa/95.Santa.jpg,0
19,archive/is that santa/train/not-a-santa/4.not-a-santa.jpg,1
20,archive/is that santa/train/santa/157.Santa.jpg,0
21,archive/is that santa/train/not-a-santa/240.not-a-santa.jpg,1
22,archive/is that santa/train/not-a-santa/336.not-a-santa.jpg,1
23,archive/is that santa/train/not-a-santa/190.not-a-santa.jpg,1
24,archive/is that santa/train/not-a-santa/244.not-a-santa.jpg,1
25,archive/is that santa/train/not-a-santa/151.not-a-santa.jpg,1
26,archive/is that santa/train/not-a-santa/163.not-a-santa.jpg,1
27,archive/is that santa/train/santa/456.Santa.jpg,0
28,archive/is that santa/train/santa/38.Santa.jpg,0
29,archive/is that santa/train/santa/359.Santa.jpg,0
30,archive/is that santa/train/not-a-santa/353.not-a-santa.jpg,1
31,archive/is that santa/train/santa/9.Santa.jpg,0
32,archive/is that santa/train/santa/320.Santa.jpg,0
33,archive/is that santa/train/not-a-santa/613.not-a-santa.jpg,1
34,archive/is that santa/train/santa/599.Santa.jpg,0
35,archive/is that santa/train/not-a-santa/108.not-a-santa.jpg,1
36,archive/is that santa/train/santa/257.Santa.jpg,0
37,archive/is that santa/train/not-a-santa/431.not-a-santa.jpg,1
38,archive/is that santa/train/not-a-santa/374.not-a-santa.jpg,1
39,archive/is that santa/train/not-a-santa/507.not-a-santa.jpg,1
40,archive/is that santa/train/not-a-santa/527.not-a-santa.jpg,1
41,archive/is that santa/train/not-a-santa/428.not-a-santa.jpg,1
42,archive/is that santa/train/not-a-santa/396.not-a-santa.jpg,1
43,archive/is that santa/train/santa/594.Santa.jpg,0
44,archive/is that santa/train/santa/128.Santa.jpg,0
45,archive/is that santa/train/santa/345.Santa.jpg,0
46,archive/is that santa/train/santa/259.Santa.jpg,0
47,archive/is that santa/train/not-a-santa/185.not-a-santa.jpg,1
48,archive/is that santa/train/not-a-santa/578.not-a-santa.jpg,1
49,archive/is that santa/train/santa/151.Santa.jpg,0
50,archive/is that santa/train/santa/358.Santa.jpg,0
51,archive/is that santa/train/santa/612.Santa.jpg,0
52,archive/is that santa/train/santa/592.Santa.jpg,0
53,archive/is that santa/train/santa/400.Santa.jpg,0
54,archive/is that santa/train/santa/26.Santa.jpg,0
55,archive/is that santa/train/santa/552.Santa.jpg,0
56,archive/is that santa/train/santa/203.Santa.jpg,0
57,archive/is that santa/train/not-a-santa/467.not-a-santa.jpg,1
58,archive/is that santa/train/santa/306.Santa.jpg,0
59,archive/is that santa/train/not-a-santa/514.not-a-santa.jpg,1
60,archive/is that santa/train/santa/507.Santa.jpg,0
61,archive/is that santa/train/not-a-santa/73.not-a-santa.jpg,1
62,archive/is that santa/train/santa/521.Santa.jpg,0
63,archive/is that santa/train/santa/229.Santa.jpg,0
64,archive/is that santa/train/santa/369.Santa.jpg,0
65,archive/is that santa/train/santa/519.Santa.jpg,0
66,archive/is that santa/train/santa/11.Santa.jpg,0
67,archive/is that santa/train/not-a-santa/258.not-a-santa.jpg,1
68,archive/is that santa/train/not-a-santa/471.not-a-santa.jpg,1
69,archive/is that santa/train/santa/30.Santa.jpg,0
70,archive/is that santa/train/not-a-santa/219.not-a-santa.jpg,1
71,archive/is that santa/train/santa/44.Santa.jpg,0
72,archive/is that santa/train/not-a-santa/22.not-a-santa.jpg,1
73,archive/is that santa/train/santa/311.Santa.jpg,0
74,archive/is that santa/train/not-a-santa/44.not-a-santa.jpg,1
75,archive/is that santa/train/not-a-santa/92.not-a-santa.jpg,1
76,archive/is that santa/train/not-a-santa/194.not-a-santa.jpg,1
77,archive/is that santa/train/santa/377.Santa.jpg,0
78,archive/is that santa/train/santa/174.Santa.jpg,0
79,archive/is that santa/train/not-a-santa/132.not-a-santa.jpg,1
80,archive/is that santa/train/not-a-santa/212.not-a-santa.jpg,1
81,archive/is that santa/train/not-a-santa/182.not-a-santa.jpg,1
82,archive/is that santa/train/santa/305.Santa.jpg,0
83,archive/is that santa/train/santa/593.Santa.jpg,0
84,archive/is that santa/train/santa/143.Santa.jpg,0
85,archive/is that santa/train/santa/420.Santa.jpg,0
86,archive/is that santa/train/santa/315.Santa.jpg,0
87,archive/is that santa/train/not-a-santa/143.not-a-santa.jpg,1
88,archive/is that santa/train/santa/280.Santa.jpg,0
89,archive/is that santa/train/not-a-santa/432.not-a-santa.jpg,1
90,archive/is that santa/train/santa/576.Santa.jpg,0
91,archive/is that santa/train/not-a-santa/40.not-a-santa.jpg,1
